Product Name,Current Price,Old Price,Discount,Ratings,URL,Photo,Vendor
HP EliteBook 830 G6 8th Gen Intel Core i5 256GB SSD 8GB RAM 4GB Total Graphics Keypad Light HDMI LONDON USED,"₦299,042.05","₦299,042.05",,,https://www.amaget.com/product/hp-elitebook-830-g6/,https://www.amaget.com/wp-content/uploads/2023/11/Hp-Elitebook-830-G6-300x300-2.png,Amaget Site
HP Chromebook 11 Laptop 4 GB RAM – 32 GB eMMC Storage – 11.6-inch HD TOUCH Display UK USED + free mouse for your laptop,"₦70,009.85","₦70,009.85",,,https://www.amaget.com/product/hp-chromebook-11-laptop-4-gb-ram-32-gb/,https://www.amaget.com/wp-content/uploads/2023/11/HP-CHROMEBOOK-11-TOUCH-300x300.jpg,Amaget Site
Dell Chromebook 11 3100 2-in-1 Celeron N4000 1.1GHz 4GB 64GB eMMC 11.6″ HD Chrome OS TOUCHSCREEN UK USED,"₦60,008.44","₦60,008.44",,,https://www.amaget.com/product/dell-chromebook-11-3100-2-in-1-celeron/,https://www.amaget.com/wp-content/uploads/2023/11/Dell-Chromebook-11-x360-300x300.jpg,Amaget Site
HP ProBook x360 11 G1 EE Notebook PC Pentium 4GB RAM 256GB Storage 6TH GEN windows 10 UK USED,"₦152,000.00","₦152,000.00",,,https://www.amaget.com/product/hp-probook-x360-11-g1-ee-notebook-pc/,https://www.amaget.com/wp-content/uploads/2023/11/HP-PROBOOK-11-X360-G1-300x300.jpg,Amaget Site
Lenovo X1 Carbon Keyboard Light 2017,"₦63,258.89","₦63,258.89",,,https://www.amaget.com/product/lenovo-x1-carbon-keyboard-light/,https://www.amaget.com/wp-content/uploads/2023/10/719XYJQ0CNL._AC_SX679_-300x300.jpg,Amaget Site
DELL SMALL PIN 45W CHARGER FC,,"₦13,983.54",,,https://www.amaget.com/product/dell-small-pin-45w-charger-fc/,https://www.amaget.com/wp-content/uploads/2023/10/1-15d84281-a4ce-4df6-bf97-078ed7aa5e1c-500x500-1-300x300.webp,Amaget Site
HP SMALL PIN CHARGER 18.5V-3.5A,"₦5,750.81","₦5,750.81",,,https://www.amaget.com/product/hp-small-pin-charger-18-5v-3-5a/,https://www.amaget.com/wp-content/uploads/2023/10/hp18.5v_small_pin_1-300x300.jpg,Amaget Site
Dell Laptop Battery for Dell Inspiron 1521 1520 1721,"₦18,952.10","₦18,952.10",,,https://www.amaget.com/product/dell-laptop-battery-for-dell-inspiron-1521/,https://www.amaget.com/wp-content/uploads/2023/10/71SmG0NumqL._AC_SL1500_-300x300.jpg,Amaget Site
Pavilion X360 Convertible PC 14 14m Laptop Battery- BK03XL,"₦28,754.04","₦28,754.04",,,https://www.amaget.com/product/pavilion-x360-convertible-pc-14-14m-laptop/,https://www.amaget.com/wp-content/uploads/2023/10/61k14rf1S4L._AC_SL1000_-300x300.jpg,Amaget Site
New BT04 BT04XL Notebook Battery for HP EliteBook Folio 9470 9470M 9480 9480M Series Ultrabook Laptop fits,"₦34,000.00","₦34,000.00",,,https://www.amaget.com/product/new-bt04-bt04xl-notebook-battery-for-hp-elitebook-folio/,https://www.amaget.com/wp-content/uploads/2023/10/61DaLI7JkjL._AC_SL1500_-300x300.jpg,Amaget Site
