Product Name,Current Price,Old Price,Discount,Rating,URL,Photo,Vendor
Asus Rog Flow Z13 16GB ROM 512GB...,"₦2,450,847",,,No reviews yet,https://www.konga.com/product/asus-asus-rog-flow-z13-16gb-rom-512gb-ssd-12th-gen-intel-i-core-o-i7-12700h-processor-2-3-ghz-24m-cache-6452143,,Konga Site
Asus Vivo 15 Intel®Core™ i5-1235...,"₦744,888",,,No reviews yet,https://www.konga.com/product/asus-vivo-15-intel-icore-o-i5-1235u-processor-1-3-ghz-8gb-ram-512gb-ssd-90nb1022-m00a50-6452142,,Konga Site
HP Probook 450 G8 Intel Core i5 ...,"₦1,114,450",,,No reviews yet,https://www.konga.com/product/hp-probook-450-g8-intel-core-i5-1tb-hdd-8gb-ram-2gb-gddr5-dedicated-nvidia-6452140,,Konga Site
HP Probook 400 440 G8 14'' i7 8G...,"₦1,082,389",,,No reviews yet,https://www.konga.com/product/hp-probook-400-440-g8-14-i7-8gb-ram-512gb-free-dos-6452138,,Konga Site
HP Pavilion Dezik 20c2 14inch Co...,"₦988,330",,,No reviews yet,https://www.konga.com/product/hp-pavilion-dezik-20c2-14inch-core-i5-8gb-ram-512gb-ssd-2x4v0ea-6452121,,Konga Site
HP Envy X360 Irwin 20c2 13.3'' C...,"₦1,014,314",,,No reviews yet,https://www.konga.com/product/hp-envy-x360-irwin-20c2-13-3-core-i5-8gb-ram-256gb-ssd-win-10-6452102,,Konga Site
HP Probook 440 G8 i5 14'' FHD 8G...,"₦852,748",,,No reviews yet,https://www.konga.com/product/hp-probook-440-g8-i5-14-fhd-8gb-ram-512gb-ssd-win-10-pro-6452087,,Konga Site
Asus Tuf Gaming 90nr0gw2-m00ax0 ...,"₦1,669,370",,,No reviews yet,https://www.konga.com/product/asus-tuf-gaming-90nr0gw2-m00ax0-16gb-ram-512gb-ssd-6452083,,Konga Site
HP Elitebook 1040 G9 14inch Inte...,"₦1,729,100",,,No reviews yet,https://www.konga.com/product/hp-elitebook-1040-g9-14inch-intel-core-i7-16gb-ram-512gb-ssd-win11-pro-5p6q0ea-6452080,,Konga Site
HP Thunderbolt 630 G8 13.3'' FHD...,"₦1,272,998",,,No reviews yet,https://www.konga.com/product/hp-thunderbolt-630-g8-13-3-fhd-core-i7-16gb-ssd-512gb-ram-win-10-pro-6452057,,Konga Site
HP Spectre X360 Convertible 14in...,"₦2,975,365",,,No reviews yet,https://www.konga.com/product/hp-spectre-x360-convertible-14inch-16gbram-2tbssd-intel-core-i7-1165g7-win-11-pro-512z8ea-6452040,,Konga Site
HP Pavilion Laptop 14 14inch Int...,"₦1,295,081",,,No reviews yet,https://www.konga.com/product/hp-pavilion-laptop-14-14inch-intel-i-core-i7-8-gb-ddr4-1tb-ssd-windows-11-home-4b0y8ea-6452007,,Konga Site
HP Pavilion Laptop 15 Felicette ...,"₦612,673",,,No reviews yet,https://www.konga.com/product/hp-pavilion-laptop-15-felicette-20c2-ryzen-3-4300u-quad-8gb-ram-256gb-ssd-ddr4-3b6k7ea-6451981,,Konga Site
HP Envy 13 X360 Convertible 13''...,"₦1,089,204",,,No reviews yet,https://www.konga.com/product/hp-envy-13-x360-convertible-13-amd-radeon-16gb-ram-1tb-ssd-windows-10-home-6451974,,Konga Site
HP Notebook Ashmore 20c1 | Ryzen...,"₦428,871",,,No reviews yet,https://www.konga.com/product/hp-notebook-ashmore-20c1-ryzen-3-3250u-dual-4gb-ram-1tb-hdd-amd-radeon-free-dos-6451966,,Konga Site
HP Envy Laptop 17 17.3'' 16GB RA...,"₦1,089,196",,,No reviews yet,https://www.konga.com/product/hp-envy-laptop-17-17-3-16gb-ram-512gb-ssd-intel-core-i5-1135g7-windows-10-home-6451959,,Konga Site
HP Pavilion | Felicette 20c2 | R...,"₦680,748",,,No reviews yet,https://www.konga.com/product/hp-pavilion-felicette-20c2-ryzen-5-4500u-hexa-8gb-ddr4-512gb-ssd-4m9l7ea-6451941,,Konga Site
HP Envy X360 15-ed1022nia Conver...,"₦1,034,738",,,No reviews yet,https://www.konga.com/product/hp-envy-x360-15-ed1022nia-convertible-pc-8gb-ram-512gb-ssd-intel-core-i5-4m9l4ea-6451921,,Konga Site
HP 14s-dq2196nia -14'' Core i3 2...,"₦524,176",,,No reviews yet,https://www.konga.com/product/hp-14s-dq2196nia-14-core-i3-256gb-ssd-4gb-ram-6451881,,Konga Site
HP Elitebook 840 G8 14'' Windows...,"₦984,516",,,No reviews yet,https://www.konga.com/product/hp-elitebook-840-g8-14-windows-11-pro-i5-8gb-ram-512gb-ssd-6451865,,Konga Site
HP Envy X360 Convert 15-ed1030ni...,"₦980,277",,,No reviews yet,https://www.konga.com/product/hp-envy-x360-convert-15-ed1030nia-core-i5-8gb-ram-512gb-ssd-15-6-windows-10-6451853,,Konga Site
"Lenovo Thinkpad T14 Gen 2 - 14"" ...","₦2,212,098",,,No reviews yet,https://www.konga.com/product/lenovo-thinkpad-t14-gen-2-14-core-i7-1165g7-ssd-512gb-rom-16gb-ram-4k-display-win-10-6451774,,Konga Site
Lenovo Thinkpad T14 Gen 3 12th G...,"₦1,425,405",,,No reviews yet,https://www.konga.com/product/lenovo-thinkpad-t14-gen-3-12th-gen-intel-core-i5-1235u-512gb-ssd-8gb-14-fhd-21ah004nue-6451756,,Konga Site
HP Pavilion | Dezik 20c2 | Core ...,"₦989,093",,,No reviews yet,https://www.konga.com/product/hp-pavilion-dezik-20c2-core-i5-1135g7-quad-8gb-ddr4-2d-512-gb-ssd-6451687,,Konga Site
Lenovo Thinkpad X1 Carbon G9 - 1...,"₦1,453,296",,,No reviews yet,https://www.konga.com/product/lenovo-thinkpad-x1-carbon-g9-11th-gen-intel-core-i7-16gb-ram-512gb-ssd-win-10-pro-6451686,,Konga Site
"Lenovo Nbln Tb G2 - 14"" - Intel®...","₦1,174,189",,,No reviews yet,https://www.konga.com/product/lenovo-nbln-tb-g2-14-intel-i-core-o-i5-1135g7-ssd-8gb-ram-256gb-rom-windows-11pro-6451680,,Konga Site
HP Probook 440 G8 27h73ea Intel ...,"₦1,349,816",,,No reviews yet,https://www.konga.com/product/hp-probook-440-g8-27h73ea-intel-core-i5-1135g7-14-8gb-ddr4-ram-512gb-ssd-27h83ea-6451649,,Konga Site
Lenovo Thinkpad E14 - I5-1235u -...,"₦929,802",,,No reviews yet,https://www.konga.com/product/lenovo-thinkpad-e14-i5-1235u-8gb-base-ddr4-512gb-ssd-21dh004gue-6451594,,Konga Site
Lenovo Thinkbook 14 G6 Irl -  Tb...,"₦918,179",,,No reviews yet,https://www.konga.com/product/lenovo-thinkbook-14-g6-irl-tb-14-g6-irl-i7-13700h-8gb-ddr5-512gb-ssd-m-2-2242-nvme-g4-i-6451521,,Konga Site
Lenovo Thinkpad X1 Carbon Gen 11...,"₦3,030,206",,,No reviews yet,https://www.konga.com/product/lenovo-thinkpad-x1-carbon-gen-11-14-oy-intel-laptop-nb-tp-x1-carbon-g11-i7-16g-512g-21hm002aue-6451501,,Konga Site
HP 250 G7 Notebook - Intel Core ...,"₦656,623",,,No reviews yet,https://www.konga.com/product/hp-250-g7-notebook-intel-core-i3-1005g1-15-6-4gb-ram-1tb-hdd-135ea-6451494,,Konga Site
HP ProBook 430 G8 PC- 13.3- DOS-...,"₦938,925",,,No reviews yet,https://www.konga.com/product/hp-probook-430-g8-pc-13-3-dos-core-i7-8gb-ram-512gb-ssd-hd-2x7t3ea-6303664,,Konga Site
Pro With M1 Pro Chip - 1TB HDD -...,"₦2,999,000","₦3,000,000",,No reviews yet,https://www.konga.com/product/pro-with-m1-pro-chip-1tb-hdd-16gb-ram-14-2-late-2021-space-grey-5692930,,Konga Site
Zinox Elite (ZNX-ITEM-003213) 14...,"₦1,339,500","₦1,339,500",- 10%,No reviews yet,https://www.konga.com/product/zinox-zinox-elite-znx-item-003213-14-oy-fhd-ips-intel-core-i7-8g-512gb-ssd-6259745,,Konga Site
"Zinox Ultrabook 14.5 inch, Intel...","₦350,000","₦356,250",- 2%,No reviews yet,https://www.konga.com/product/zinox-ultrabook-14-5-inch-intel-core-i-3-4gb-ram-500gb-hdd-win10-4633688,,Konga Site
HP Probook X360 11 Intel Pentium...,"₦180,000",,,No reviews yet,https://www.konga.com/product/hp-probook-x360-11-intel-pentium-touchscreen-265gb-ssd-4gb-ram-32gb-flash-mouse-5659112,,Konga Site
