prod_title,current_price,old_price,discount,rating,photo,URL,vendor
HP 14 Pentium cf2239nia Laptop | Hedwig 19C2 | Silver N5030 quad | 4GB DDR4 1DM 2400 | 1TB 5400RPM.,480000.0,550000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/Untitled-7-6-300x300.jpg,https://pcplaceng.com/product/hp-14-cf2239nia-laptop-hedwig-19c2-pentium-silver-n5030-quad-4gb-ddr4-1dm-2400-1tb-5400rpm/,PC-PLACE_site
LENOVO V14- IGL INTEL PENTIUM 4GB/1TB HDD,495000.0,520000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/Untitled-2021-10-22T092703.543-300x300.jpg,https://pcplaceng.com/product/lenovo-v14-igl-intel-pentium-4gb-1tb-hdd/,PC-PLACE_site
LENOVO V15 |INTEL CORE I3| |12TH GEN|  |256 SSD| |8GB RAM|  |15.6 Inch| |WIN 11|,497500.0,520000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-30T091935.600-300x300.webp,https://pcplaceng.com/product/lenovo-v15-intel-core-i3-12th-gen-256-ssd-8gb-ram-15-6-inch-win-11/,PC-PLACE_site
HP PAVILION 14-DV0030NIA LAPTOP (PENTIUM GOLD 7505/8GB/256GB/14.0 HD/WIN10H),500000.0,600000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/Untitled14-1-1-300x300.jpg,https://pcplaceng.com/product/hp-pavilion-14-dv0030nia-laptop-pentium-gold-7505-8gb-256gb-14-0-hd-win10h-serene-pink/,PC-PLACE_site
"HP 15S – FQ5004 Laptop, INTEL CORE I3 ,12th GEN,8GB RAM 256GB SSD, 15.6, DOS SILVER",500000.0,650000.0,,,https://pcplaceng.com/wp-content/uploads/2024/04/download-15-1-300x300.webp,https://pcplaceng.com/product/hp-15s-fq5004-intel-core-i3-12th-gen8gb-ram-256gb-ssd-15-6-inch-dos-silver/,PC-PLACE_site
DELL VOSTRO CORE I3 3520 |12TH GEN| |512SSD| |8GB RAM| 15.6 Inch|  |WIN 11 PRO|,506000.0,557000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-28T151556.430-300x300.webp,https://pcplaceng.com/product/dell-vostro-core-i3-3520-12th-gen-512ssd-8gb-ram-15-6-inch-win-11-pro/,PC-PLACE_site
"HP 15 Pentium dw1083wm , Intel  Gold processor – 128gb SSD /4GB RAM",510000.0,580000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/image-29-4-300x300.jpg,https://pcplaceng.com/product/hp-15-dw1083wm-1b9s3ua-intel-pentium-gold-processor-128gb-ssd-4gb-ram/,PC-PLACE_site
"HP 14S-DQ5106,  INTEL  COREI3, 12th GEN ,4GB RAM 256 SSD , 14.0 Inch , DOS SILVER",530200.0,550200.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-27T163700.951-300x300.webp,https://pcplaceng.com/product/hp-14s-dq5106-intel-corei3-12th-gen-4gb-ram-256-ssd-14-0-inch/,PC-PLACE_site
"HP 14S-DQ5106,  INTEL  COREI3, 12th GEN ,4GB RAM 256 SSD , 14.0 Inch ,WIN 11 SILVER",535700.0,550500.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-28T094546.843-300x300.webp,https://pcplaceng.com/product/hp-14s-dq5106-intel-corei3-12th-gen-4gb-ram-256-ssd-14-0-inch-win-11-silver/,PC-PLACE_site
"HP 15S CORE I3 – FQ5004 Laptop |12th GEN| |4GB RAM| |256GB SSD| |15.6 INCH|, |DOS| |SILVER|",539000.0,560000.0,,,https://pcplaceng.com/wp-content/uploads/2024/04/image-2024-05-28T114033.031-300x300.webp,https://pcplaceng.com/product/hp-15s-fq5004-intel-core-i3-12th-gen4gb-ram-256gb-ssd-15-6-inch-dos-silver/,PC-PLACE_site
HP 14S COREI3 – DQ5106 |12th GEN|  |4GB RAM| |512GB SSD|  |14.0 Inch|  |DOS SILVER|,542300.0,565000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-28T102420.766-300x300.webp,https://pcplaceng.com/product/hp-14s-corei3-dq5106-12th-gen-4gb-ram-512gb-ssd-14-0-inch-dos-silver/,PC-PLACE_site
HP 14S CORE I3 – DQ5106 |12th GEN| |8GB RAM| |256 SSD|  |14.0 Inch| |WIN 11|,546700.0,560000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-28T094546.843-300x300.webp,https://pcplaceng.com/product/hp-14s-core-i3-dq5106-12th-gen-8gb-ram-256-ssd-14-0-inch-win-11/,PC-PLACE_site
HP 15S CORE I3-FQ5004  |12th GEN |4GB RAM| |256GB SSD|  |15.6 INCH|  |WIN 11|,546700.0,565000.0,,,https://pcplaceng.com/wp-content/uploads/2024/05/image-2024-05-28T115904.749-300x300.webp,https://pcplaceng.com/product/hp-15s-core-i3-fq5004-12th-gen-4gb-ram-256gb-ssd-15-6-inch-win-11/,PC-PLACE_site
"HP 15, COREI3 10TH GEN ,1TB,4GB TOUCHSCREEN,BT, CAM, 15.6 ‘, WIN10",550000.0,650000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/Untitled13-4-300x300.jpg,https://pcplaceng.com/product/hp-15-corei3-10th-gen-1tb4gb-touchscreenbt-cam-15-6-win10/,PC-PLACE_site
HP 15 Core i3 DAD2023NIA 1TB/4GB TOUCHSCREEN,550000.0,650000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/Untitled13-1-2-300x300.jpg,https://pcplaceng.com/product/hp-15-core-i3-dad2023nia-1tb-4gb-touchscreen/,PC-PLACE_site
"HP 250 G8, INTEL CORE I3, 256SSD , 8GB , webs CAM, BT,BAG , WIN10",550000.0,600000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/Untitled11-7-1-300x300.jpg,https://pcplaceng.com/product/hp-250-g8intel-corei3-256ssd-8gb-webs-cam-btbag-win10/,PC-PLACE_site
"HP 15- LAPTOP INTEL®️ CORE™️ I3-1005G1 DA3058NIA (1.2 GHZ BASE FREQUENCY, UP TO 3.4 GHZ WITH INTEL®️ TURBO BOOST TECHNOLOGY, 4 MB L3 CACHE, 2 CORES) 4GB RAM 1TB HARD DRIVE WIN 10",550000.0,650000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/Untitled6-2-4-300x300.jpg,https://pcplaceng.com/product/hp-laptop-15-da3058nia-intel%ef%b8%8f-core%ef%b8%8f-i3-1005g1-1-2-ghz-base-frequency-up-to-3-4-ghz-with-intel%ef%b8%8f-turbo-boost-technology-4-mb-l3-cache-2-cores-4gb-ram-1t/,PC-PLACE_site
